url,snippet
https://vimeo.com/privacy," … full break-words text-start justify-self-start leading-snug\"",\""children\"":[[\""$\"",\""$3\"",\""kna2AE0P9Cs4\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""12."
https://vimeo.com/privacy," … your data may be collected by others. We encourage you to read our \""}]]}],\""$L51\"",[\""$\"",\""$3\"",\""Gh6YY1FNkt6U\"",{\""children\"":[[\""$\"",\""$3 … "
https://vimeo.com/privacy," … 6 pr-2\"",\""children\"":[\""$\"",\""a\"",null,{\""href\"":\""#id-13.-location-of-data-and-data-processing\"",\""aria-label\"":\""Direct … "
https://vimeo.com/privacy,"Location of Data and Data Processing\""}]]}]]}]]}],[\""$\"",\""p\"",\""xLmFzqNYVGHe\"",{\""className\"":\""mx-auto page-width-wide:mx-0 w-full … "
https://vimeo.com/privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""A9MYYn1eO2R7\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""The EU-U.S. Data Privacy Framework (DPF … "
https://vimeo.com/privacy, … You may also refer a complaint to your local data protection authority and we will work with them … 
https://vimeo.com/privacy," … children\"":[[\""$\"",\""$3\"",\""aSZ6klQyX0ca\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""We enable you to make numerous choices about your data:\""}]]}]]}],[\""$\"",\""ul … "
https://vimeo.com/privacy," … your data current by viewing your settings page.\""}]]}]]}]]}]]}],[\""$\"",\""li\"",\""ACAve8fJ0Ryn\"",{\""className\"":\""leading-normal flex items-start\"",\""children\"":[[\""$\"",\""div … "
https://vimeo.com/privacy," … self-start\"",\""children\"":[[\""$\"",\""$3\"",\""9qBWm7gyUM1k\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""Additional details about Vimeo’s data collection, use, and … "
https://vimeo.com/privacy," … Data Protection Officer\""}]}],[\""$\"",\""$3\"",\""3\"",{\""children\"":\""\\n\""}],[\""$\"",\""$3\"",\""4\"",{\""children\"":[\""$\"",\""i\"",\""mark\"",{\""className\"":\""font-italic\"",\""children\"":\""330 West … "
https://vimeo.com/privacy," … 0\"",{\""children\"":\""For the EU/EEA: \""}],[\""$\"",\""$3\"",\""1\"",{\""children\"":[\""$\"",\""i\"",\""mark\"",{\""className\"":\""font-italic\"",\""children\"":\""European Data Protection … "
https://vimeo.com/privacy," … data-request\""},\""position\"":\""content\""}},\""children\"":[[[\""$\"",\""$3\"",\""JAOy2a3v00Ma\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":[\""$\"",\""i\"",\""mark\"",{\""className\"":\""font-italic\"",\""children\"":\""https … "
